id,fork_id,in_dt,emp_x,emp_y
0,TEAM10054239,2019-06-01 08:30:50.651,173753.462668852,252318.443103598
1,TEAM10054239,2019-06-01 08:30:50.619,173725.558119309,252342.150967047
2,TEAM10054239,2019-06-01 08:30:50.590,173527.526161433,252155.980790928
3,TEAM10054239,2019-06-01 08:30:50.558,173502.197367869,252157.814598932
4,TEAM10054239,2019-06-01 08:30:50.521,173487.381198489,252141.904344461
5,TEAM10054239,2019-06-01 08:30:50.427,173475.428721615,252124.683395362
6,TEAM10054239,2019-06-01 08:30:50.402,173463.287160659,252107.861282272
7,TEAM10054239,2019-06-01 08:30:50.374,173451.099017032,252088.862686802
8,TEAM10054239,2019-06-01 08:30:50.346,173441.875060797,252071.988884563
9,TEAM10054239,2019-06-01 08:30:50.321,173440.116125597,252067.698403514
10,TEAM10054239,2019-06-01 08:30:50.294,173438.384934399,252068.564311296
11,TEAM10054239,2019-06-01 08:30:50.270,173438.404679328,252068.120495991
12,TEAM10054239,2019-06-01 08:30:50.237,173438.407848188,252067.951858737
13,TEAM10054239,2019-06-01 08:30:50.205,173440.302471558,252065.423603335
14,TEAM10054239,2019-06-01 08:30:50.175,173442.140282015,252058.435744324
15,TEAM10054239,2019-06-01 08:30:50.145,173439.515964578,252056.546283527
16,TEAM10054239,2019-06-01 08:30:50.116,173439.884068254,252055.146269437
17,TEAM10054239,2019-06-01 08:30:50.081,173440.216119853,252053.295945402
18,TEAM10054239,2019-06-01 08:30:50.050,173440.263868962,252053.049521298
19,TEAM10054239,2019-06-01 08:30:50.025,173440.271603397,252052.878652027
20,TEAM10054239,2019-06-01 08:30:49.995,173440.229636419,252053.227123731
21,TEAM10054239,2019-06-01 08:30:49.964,173439.851866517,252054.762512026
22,TEAM10054239,2019-06-01 08:30:49.934,173439.913591913,252054.605908426
23,TEAM10054239,2019-06-01 08:30:49.889,173440.069164356,252053.071164052
24,TEAM10054239,2019-06-01 08:30:49.854,173435.327757049,252041.946578167
25,TEAM10054239,2019-06-01 08:30:49.822,173427.762131215,252029.061806719
26,TEAM10054239,2019-06-01 08:30:49.788,173416.881570087,252018.630653296
27,TEAM10054239,2019-06-01 08:30:49.760,173402.792919487,252013.126770679
28,TEAM10054239,2019-06-01 08:30:49.729,173387.928892189,252001.343765621
29,TEAM10054239,2019-06-01 08:30:49.704,173375.249173748,251991.390487879
30,TEAM10054239,2019-06-01 08:30:49.674,173362.088561532,251979.588154146
31,TEAM10054239,2019-06-01 08:30:49.644,173351.832955902,251967.143927812
32,TEAM10054239,2019-06-01 08:30:49.613,173343.108624574,251956.156332554
33,TEAM10054239,2019-06-01 08:30:49.581,173333.187961498,251940.679176073
34,TEAM10054239,2019-06-01 08:30:49.550,173317.553957503,251928.011008773
35,TEAM10054239,2019-06-01 08:30:49.520,173296.351106966,251933.225899557
36,TEAM10054239,2019-06-01 08:30:49.489,173277.139692858,251933.675727913
37,TEAM10054239,2019-06-01 08:30:49.449,173261.839718628,251952.788634089
38,TEAM10054239,2019-06-01 08:30:49.413,173248.150151034,251971.611751705
39,TEAM10054239,2019-06-01 08:30:49.381,173234.533278745,251994.642614866
40,TEAM10054239,2019-06-01 08:30:49.347,173217.088553865,252003.202637978
41,TEAM10054239,2019-06-01 08:30:49.316,173202.319582435,252009.00689846
42,TEAM10054239,2019-06-01 08:30:49.285,173187.482921232,252015.734397942
43,TEAM10054239,2019-06-01 08:30:49.255,173189.560143268,252033.447584607
44,TEAM10054239,2019-06-01 08:30:49.227,173196.798583236,252045.963690633
45,TEAM10054239,2019-06-01 08:30:49.199,173177.823052502,252053.194773959
46,TEAM10054239,2019-06-01 08:30:49.173,173158.579679563,252066.998740259
47,TEAM10054239,2019-06-01 08:30:49.147,173142.590448315,252078.530044197
48,TEAM10054239,2019-06-01 08:30:49.119,173131.245008848,252091.771761956
49,TEAM10054239,2019-06-01 08:30:49.086,173130.23660971,252103.685189318
50,TEAM10054239,2019-06-01 08:30:49.055,173112.621979927,252112.512168466
51,TEAM10054239,2019-06-01 08:30:49.026,173093.567952475,252118.164989042
52,TEAM10054239,2019-06-01 08:30:48.996,173076.1059881,252132.249017126
53,TEAM10054239,2019-06-01 08:30:48.964,173061.631948592,252145.277026653
54,TEAM10054239,2019-06-01 08:30:48.930,173045.472545372,252155.133816262
55,TEAM10054239,2019-06-01 08:30:48.896,173031.106644024,252176.916908881
56,TEAM10054239,2019-06-01 08:30:48.860,173021.175135472,252193.887723743
57,TEAM10054239,2019-06-01 08:30:48.832,172997.753770613,252211.490703829
58,TEAM10054239,2019-06-01 08:30:48.797,172978.787361283,252229.400114715
59,TEAM10054239,2019-06-01 09:01:04.853,172995.098222702,252252.082451183
60,TEAM10054239,2019-06-01 09:01:04.822,173004.254409874,252276.459968258
61,TEAM10054239,2019-06-01 09:01:04.788,172989.410636095,252294.539157612
62,TEAM10054239,2019-06-01 09:01:04.754,172976.499603256,252301.971345194
63,TEAM10054239,2019-06-01 09:01:04.723,172977.960939254,252321.252777988
64,TEAM10054239,2019-06-01 09:01:04.694,172985.025802021,252332.867295439
65,TEAM10054239,2019-06-01 09:01:04.665,172994.531486941,252353.609393156
66,TEAM10054239,2019-06-01 09:01:04.631,173008.922003177,252369.1806389
67,TEAM10054239,2019-06-01 09:01:04.583,173024.612442248,252378.451147947
68,TEAM10054239,2019-06-01 09:01:04.549,173032.380809228,252377.171338339
69,TEAM10054239,2019-06-01 09:01:04.519,173031.648301976,252376.827362365
70,TEAM10054239,2019-06-01 09:01:04.492,173031.198849967,252373.862159738
71,TEAM10054239,2019-06-01 09:01:04.461,173031.224393093,252374.152746357
72,TEAM10054239,2019-06-01 09:01:04.429,173031.248257898,252374.183739219
73,TEAM10054239,2019-06-01 09:01:04.397,173031.238421933,252374.259207103
74,TEAM10054239,2019-06-01 09:01:04.370,173031.194395476,252374.21274203
75,TEAM10054239,2019-06-01 09:01:04.340,173031.179027638,252374.272694648
76,TEAM10054239,2019-06-01 09:01:04.309,173030.657084165,252374.3274817
77,TEAM10054239,2019-06-01 09:01:04.278,173031.494661554,252374.643413486
78,TEAM10054239,2019-06-01 09:01:04.249,173031.628997539,252374.617502044
79,TEAM10054239,2019-06-01 09:01:04.221,173031.637164761,252374.596399482
80,TEAM10054239,2019-06-01 09:01:04.190,173031.623537494,252374.626393282
81,TEAM10054239,2019-06-01 09:01:04.158,173031.624474706,252374.634156297
82,TEAM10054239,2019-06-01 09:01:04.126,173031.6363614,252374.634121316
83,TEAM10054239,2019-06-01 09:01:04.098,173031.627119849,252374.600866627
84,TEAM10054239,2019-06-01 09:01:04.065,173031.617127171,252374.623083957
85,TEAM10054239,2019-06-01 09:01:04.038,173031.603441138,252374.633108799
86,TEAM10054239,2019-06-01 09:01:04.005,173031.613531757,252374.644173065
87,TEAM10054239,2019-06-01 09:01:03.974,173031.608101092,252374.663048781
88,TEAM10054239,2019-06-01 09:01:03.941,173031.60720632,252374.669707791
89,TEAM10054239,2019-06-01 09:01:03.908,173031.602657365,252374.677486951
90,TEAM10054239,2019-06-01 09:01:03.874,173031.600913528,252374.706336383
91,TEAM10054239,2019-06-01 09:01:03.841,173031.588066769,252374.690842643
92,TEAM10054239,2019-06-01 09:01:03.809,173031.574377469,252374.699758098
93,TEAM10054239,2019-06-01 09:01:03.769,173031.558918216,252374.728647892
94,TEAM10054239,2019-06-01 09:01:03.735,173031.556971961,252374.688715358
95,TEAM10054239,2019-06-01 09:01:03.704,173031.554235406,252374.690942203
96,TEAM10054239,2019-06-01 09:01:03.671,173031.573423931,252374.686448149
97,TEAM10054239,2019-06-01 09:01:03.638,173031.613564404,252374.655266931
98,TEAM10054239,2019-06-01 09:01:03.601,173031.6162879,252374.648602539
99,TEAM10054239,2019-06-01 09:01:03.568,173031.663899505,252375.291912192
100,TEAM10054239,2019-06-01 09:01:03.535,173032.363242026,252375.241040735
101,TEAM10054239,2019-06-01 09:01:03.500,173032.317631934,252379.006465493
102,TEAM10054239,2019-06-01 09:01:03.465,173031.133766084,252380.020609316
103,TEAM10054239,2019-06-01 09:01:03.427,173031.408427948,252378.586461182
